,"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog4|""Volts""|0.0|5.0|500","Analog5|""Volts""|0.0|5.0|500","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|200","AccelY|""G""|-3.0|3.0|200","AccelZ|""G""|-3.0|3.0|200","Yaw|""Deg/Sec""|-120|120|200","Pitch|""Deg/Sec""|-120|120|200","Roll|""Deg/Sec""|-120|120|200","Gsum|""G""|0.0|3.0|200","RPM|""rpm""|0|8000|500","RPM2|""rpm""|0|8000|500","GPIO1|""""|0.0|1.0|50","Latitude|Degrees|-180.0|180.0|25","Longitude|Degrees|-180.0|180.0|25","Speed|mph|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25","GPSSats|""""|0|20|25","GPSQual|""""|0|5|25","GPSDOP|""""|0.0|20.0|25"
69,355,0,1.41,1.84,,,,,,,,,0,132,,,,,,,,
70,357,0,1.44,1.87,,,,,,,,,0,132,,,,,,,,
71,359,0,1.45,1.88,,,,,,,,,0,132,,,,,,,,
72,361,0,1.45,1.88,,,,,,,,,0,132,,,,,,,,
73,363,0,1.42,1.86,,0.07,0.03,0.53,2.0,-10.0,-5.0,0.07,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,365,0,1.42,1.85,,,,,,,,,0,132,,,,,,,,
75,367,0,1.45,1.88,,,,,,,,,0,132,,,,,,,,
76,369,0,1.45,1.88,,,,,,,,,0,132,,,,,,,,
77,371,0,1.45,1.88,,,,,,,,,0,132,,,,,,,,
78,373,0,1.42,1.85,,-0.07,-0.21,0.51,4.0,-1.0,-1.0,0.22,0,128,,,,,,,,
79,375,0,1.43,1.86,,,,,,,,,0,128,,,,,,,,
80,377,0,1.45,1.88,,,,,,,,,0,128,,,,,,,,
81,379,0,1.45,1.89,,,,,,,,,0,128,,,,,,,,
82,381,0,1.44,1.87,,,,,,,,,0,128,,,,,,,,
83,383,0,1.42,1.84,,0.02,-0.04,1.05,1.0,-4.0,0.0,0.05,0,128,0.0,,,,,,,
84,385,0,1.42,1.84,,,,,,,,,0,128,,,,,,,,
85,387,0,1.44,1.88,,,,,,,,,0,128,,,,,,,,
86,389,0,1.46,1.89,,,,,,,,,0,128,,,,,,,,
87,391,0,1.4,1.84,,,,,,,,,0,128,,,,,,,,
88,393,0,1.44,1.88,,0.3,-0.02,1.11,1.0,-4.0,1.0,0.3,0,128,,,,,,,,
89,395,0,1.46,1.89,,,,,,,,,0,128,,,,,,,,
90,397,0,1.45,1.88,,,,,,,,,0,128,,,,,,,,
91,399,0,1.42,1.85,,,,,,,,,0,128,,,,,,,,
92,401,0,1.43,1.86,,,,,,,,,0,128,,,,,,,,
93,403,0,1.45,1.88,,0.28,-0.01,1.32,1.0,-1.0,1.0,0.28,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,405,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
95,407,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
96,409,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
97,411,0,1.44,1.86,,,,,,,,,0,132,,,,,,,,
98,413,0,1.42,1.83,,0.32,-0.03,1.48,1.0,2.0,3.0,0.32,0,132,,,,,,,,
99,415,0,1.45,1.86,,,,,,,,,0,132,,,,,,,,
100,417,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
