"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog1|""""|0|5|100","Analog2|""""|0|5|50","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|50","AccelY|""G""|-3.0|3.0|50","AccelZ|""G""|-3.0|3.0|50","Yaw|""Deg/Sec""|-120|120|50","Pitch|""Deg/Sec""|-120|120|50","Roll|""Deg/Sec""|-120|120|50","Gsum|""G""|0.0|3.0|50","RPM1|""rpm""|0.0|1000000.0|1000","Latitude|""Degrees""|-180.0|180.0|25","Longitude|""Degrees""|-180.0|180.0|25","Speed|""mph""|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25"
2527883,1.70215E+12,0,0,,-0.19,0,0.72,-3,-3,-16,0.19,5,39.674294,-77.417427,10.82,1100.7
2527923,1.70215E+12,0,0,,-0.01,-0.45,0.75,0,-5,7,0.45,5,39.674294,-77.417427,10.83,1100.7
2527963,1.70215E+12,0,0,,0.05,-0.29,0.68,1,-12,25,0.3,5,39.674297,-77.417427,10.92,1100.6
2528003,1.70215E+12,0,0,,0.18,0.33,1.12,4,-14,14,0.38,5,39.674297,-77.417427,10.88,1100.6
2528043,1.70215E+12,0,0,12.83,0.17,0.2,1.62,2,-2,4,0.26,5,39.674301,-77.417427,11.02,1100.5
2528083,1.70215E+12,0,0,,0.29,0.37,1.62,0,10,-14,0.47,5,39.674301,-77.417427,11.38,1100.5
2528203,1.70215E+12,0,0,,0.27,-0.36,0.8,15,-9,7,0.45,5,39.674309,-77.417427,10.26,1100.3
2528243,1.70215E+12,0,1,,0.1,0.01,1.39,17,-4,-1,0.1,5,39.674313,-77.417427,10.79,1100.2
2528283,1.70215E+12,0,0,,0.34,-0.14,1.29,18,10,-10,0.37,5,39.674313,-77.417427,10.76,1100.2
2528323,1.70215E+12,0,0,,0.05,-0.26,0.48,20,10,5,0.27,5,39.674313,-77.417427,10.7,1100.1
2528363,1.70215E+12,0,0,,0.08,-0.2,0.61,21,1,24,0.22,5,39.674313,-77.417427,10.31,1100.1
2528403,1.70215E+12,0,0,,0.01,0.27,1.18,19,-15,5,0.27,5,39.674316,-77.417427,10.54,1100
2528443,1.70215E+12,0,0,,-0.01,0.65,0.76,14,-23,-26,0.65,4,39.674316,-77.417427,10.65,1099.9
2528483,1.70215E+12,0,0,,0.17,-0.1,1.66,12,-19,-7,0.2,4,39.67432,-77.417427,11.11,1099.8
2528523,1.70215E+12,0,0,,0.19,-0.02,1.44,11,-4,16,0.19,4,39.67432,-77.417427,11.38,1099.8
2528563,1.70215E+12,0,0,,-0.07,-0.05,0.95,10,8,9,0.08,4,39.674324,-77.417427,11.03,1099.7
2528603,1.70215E+12,0,0,,0.1,0.06,0.45,9,2,2,0.11,4,39.674328,-77.417419,10.8,1099.6
2528643,1.70215E+12,0,0,,0.18,0.05,0.86,10,-5,-2,0.19,4,39.674328,-77.417419,10.83,1099.5
2528683,1.70215E+12,0,1,,0.19,-0.14,1.17,9,-4,9,0.23,4,39.674332,-77.417419,10.8,1099.5
2528723,1.70215E+12,0,1,,-0.07,-0.02,1.14,5,3,9,0.07,4,39.674332,-77.417419,11.01,1099.4
2528763,1.70215E+12,0,0,,-0.02,0.35,0.82,2,-4,-8,0.35,4,39.674332,-77.417419,10.93,1099.3
2528923,1.70215E+12,0,1,,-0.05,-0.15,1.02,4,24,0,0.16,4,39.674339,-77.417419,10.92,1098.9
2528963,1.70215E+12,5,0,,0,0,0.56,6,26,22,0,4,39.674343,-77.417419,10.55,1098.8
2529003,1.70215E+12,0,0,,0.34,0.68,1.11,0,13,-5,0.76,4,39.674343,-77.417419,10.18,1098.7
2529043,1.70215E+12,0,0,12.92,-0.38,0.13,0.57,-5,0,-14,0.4,4,39.674347,-77.417419,10.33,1098.6
2529083,1.70215E+12,0,0,,-0.7,0.57,0.93,-10,3,-11,0.9,4,39.674347,-77.417419,10.49,1098.6
2529123,1.70215E+12,5,0,,-0.73,0.98,1.09,-17,-7,12,1.22,4,39.674351,-77.417412,11.06,1098.4
2529163,1.70215E+12,5,0,,-0.68,0.91,1.04,-34,-4,12,1.13,4,39.674351,-77.417412,11.27,1098.4
2529203,1.70215E+12,0,0,,-0.44,1.06,1.02,-45,-12,-8,1.14,4,39.674351,-77.417412,11.51,1098.3
2529243,1.70215E+12,0,0,,-0.21,0.68,0.95,-53,-5,5,0.71,4,39.674351,-77.417412,11.41,1098.2
2529283,1.70215E+12,0,0,,-0.02,0.84,0.83,-55,0,26,0.85,4,39.674355,-77.417412,11.33,1098.2
2529323,1.70215E+12,0,0,,-0.16,0.73,1.08,-65,-1,18,0.75,4,39.674358,-77.417412,11.28,1098.2
2529363,1.70215E+12,0,0,,-0.3,0.62,1.02,-71,2,25,0.69,4,39.674358,-77.417412,11.52,1098.1
2529403,1.70215E+12,0,0,,0.09,0.74,0.77,-75,-2,12,0.74,4,39.674362,-77.417412,11.2,1098.1
2529563,1.70215E+12,0,0,,-0.32,0.45,0.43,-81,4,1,0.56,4,39.67437,-77.417412,11.47,1097.9
2529603,1.70215E+12,0,0,,-0.18,0.25,0.31,-73,-4,9,0.31,4,39.67437,-77.417412,11.13,1097.8
2529643,1.70215E+12,5,0,,-0.19,0.41,0.71,-58,-6,25,0.45,4,39.67437,-77.417412,11.62,1097.7
2529683,1.70215E+12,5,0,,-0.7,0.73,0.91,-55,-12,25,1.01,4,39.674374,-77.417412,11.82,1097.7
2529723,1.70215E+12,5,0,,-0.31,1.08,0.82,-54,-17,6,1.12,4,39.674374,-77.417412,12.06,1097.6
2529763,1.70215E+12,5,0,,-0.2,0.93,0.85,-51,-18,1,0.95,4,39.674377,-77.417412,12.12,1097.6
2529803,1.70215E+12,5,0,,-0.28,0.85,0.87,-52,-20,-2,0.9,4,39.674381,-77.417412,12.01,1097.6
2529843,1.70215E+12,5,0,,0.03,0.65,1.04,-60,-17,-5,0.65,4,39.674381,-77.417412,12.31,1097.6
2529883,1.70215E+12,5,0,,0.21,0.66,1.1,-68,2,0,0.69,4,39.674385,-77.417412,12.3,1097.6
2529923,1.70215E+12,5,0,,0.17,0.64,0.52,-69,5,14,0.66,4,39.674385,-77.417419,12.06,1097.5
2529963,1.70215E+12,5,0,,0.27,0.93,0.9,-71,5,29,0.97,4,39.674389,-77.417419,11.47,1097.6
2530003,1.70215E+12,5,0,,-0.02,0.43,0.84,-71,9,18,0.43,4,39.674389,-77.417419,11.7,1097.5
2530043,1.70215E+12,5,0,12.96,-0.26,0.55,0.97,-69,9,2,0.6,4,39.674393,-77.417419,11.17,1097.5
2530163,1.70215E+12,0,0,,0.27,0.27,0.75,-52,-9,-9,0.38,4,39.674393,-77.417427,10.91,1097.5
2530203,1.70215E+12,0,0,,-0.08,0.38,0.76,-45,-13,-2,0.39,4,39.674396,-77.417427,11.17,1097.5
2530243,1.70215E+12,0,0,,-0.22,0.79,1.27,-45,4,27,0.82,4,39.674396,-77.417427,11.19,1097.4
2530283,1.70215E+12,0,0,,-0.33,0.98,1.09,-43,4,27,1.03,4,39.6744,-77.417427,11.22,1097.5
2530323,1.70215E+12,5,0,,-0.47,0.33,0.68,-44,-9,-3,0.58,4,39.6744,-77.417435,10.87,1097.5
2530363,1.70215E+12,5,0,,-0.31,0.17,0.62,-41,-9,-21,0.35,4,39.674404,-77.417435,11.19,1097.4
2530403,1.70215E+12,5,0,,0.1,0.34,0.93,-32,-11,7,0.36,4,39.674404,-77.417435,11.16,1097.5
2530443,1.70215E+12,5,0,,-0.28,0.8,0.96,-38,9,14,0.85,4,39.674404,-77.417435,11.31,1097.4
2530483,1.70215E+12,5,0,,-0.23,0.47,0.69,-40,2,5,0.52,4,39.674408,-77.417442,11.18,1097.4
2530523,1.70215E+12,0,0,,-0.27,0.33,0.85,-41,6,-14,0.43,4,39.674408,-77.417442,11.13,1097.4
2530563,1.70215E+12,0,0,,0.23,-0.1,0.79,-32,0,10,0.25,4,39.674408,-77.417442,10.95,1097.4
2530603,1.70215E+12,0,0,,0.43,1.21,0.96,-22,-12,25,1.28,4,39.674408,-77.41745,10.53,1097.3
2530643,1.70215E+12,0,0,,-0.4,1.47,1.1,-34,-10,11,1.53,4,39.674412,-77.41745,11.08,1097.3
2530683,1.70215E+12,5,0,,-0.22,0.93,0.88,-46,-10,-12,0.95,4,39.674412,-77.41745,11.52,1097.4
2530723,1.70215E+12,5,0,,-0.37,0.44,1.01,-59,4,-2,0.58,4,39.674412,-77.41745,11.21,1097.3
2530843,1.70215E+12,0,0,,0.1,0.97,0.86,-70,-9,4,0.98,4,39.674412,-77.417458,10.5,1097.3
2530883,1.70215E+12,0,0,,-0.05,0.57,0.84,-73,-2,7,0.57,4,39.674412,-77.417458,10.69,1097.3
2530923,1.70215E+12,0,0,,0.48,0.23,0.74,-71,-10,13,0.53,3,39.674412,-77.417458,10.54,1097.3
2530963,1.70215E+12,0,0,,0.43,0.87,1.09,-70,-5,0,0.97,3,39.674412,-77.417465,10.51,1097.3
2531003,1.70215E+12,5,0,,-0.12,0.81,1.26,-75,-3,-6,0.82,3,39.674412,-77.417465,10.65,1097.3
2531043,1.70215E+12,5,0,12.95,-0.66,-0.38,0.62,-65,11,-3,0.76,3,39.674412,-77.417465,10.5,1097.3
2531083,1.70215E+12,5,0,,-0.37,-0.76,0.6,-42,8,-1,0.85,3,39.674412,-77.417473,10.71,1097.3
2531123,1.70215E+12,5,0,,-0.18,-1.08,0.49,-16,-6,-2,1.09,3,39.674412,-77.417473,10.42,1097.3
2531163,1.70215E+12,0,0,,0.12,-0.27,0.71,4,-8,-6,0.3,3,39.674412,-77.417473,10.22,1097.2
2531203,1.70215E+12,0,0,,-0.49,0.03,0.73,12,-12,-12,0.49,3,39.674412,-77.41748,11.02,1097.2
2531243,1.70215E+12,0,0,,-0.3,0.06,0.91,19,-2,-19,0.3,3,39.674412,-77.41748,11.34,1097.3
2531283,1.70215E+12,5,0,,-0.09,-0.71,1.01,26,-8,-22,0.71,3,39.674412,-77.41748,11.8,1097.3
2531323,1.70215E+12,5,0,,0.19,-0.51,1.5,36,0,-15,0.55,3,39.674412,-77.417488,12.06,1097.3
2531483,1.70215E+12,0,0,,-0.31,-0.65,0.84,45,8,-16,0.72,3,39.674412,-77.417496,11.41,1097.4
2531523,1.70215E+12,0,0,,-0.35,-0.2,0.44,45,-3,-11,0.4,3,39.674412,-77.417496,11.78,1097.3
2531563,1.70215E+12,0,0,,-0.07,-0.35,1.15,44,8,-8,0.36,3,39.674412,-77.417496,11.72,1097.3
2531603,1.70215E+12,0,0,,-0.16,-0.29,1.14,44,12,-15,0.33,3,39.674412,-77.417496,12.17,1097.3
2531643,1.70215E+12,5,0,,-0.45,-0.72,0.7,45,2,-3,0.85,3,39.674412,-77.417503,11.99,1097.3
2531683,1.70215E+12,5,0,,-0.15,-0.22,0.54,43,7,0,0.26,3,39.674412,-77.417503,12.27,1097.3
2531723,1.70215E+12,5,0,,0.24,-0.03,0.78,43,5,-2,0.24,3,39.674412,-77.417511,11.81,1097.3
2531763,1.70215E+12,5,0,,0.2,-0.57,1.48,42,1,-5,0.6,3,39.674412,-77.417511,11.98,1097.4
2531803,1.70215E+12,5,0,,0.1,-0.28,0.8,45,6,-9,0.3,3,39.674412,-77.417511,12.12,1097.4
2531843,1.70215E+12,5,0,,0.14,-0.33,0.71,45,-4,4,0.35,3,39.674412,-77.417519,12.28,1097.4
2531883,1.70215E+12,0,0,,-0.58,-0.3,1.43,40,-9,-5,0.65,3,39.674412,-77.417519,12.9,1097.4
2531923,1.70215E+12,0,0,,-0.75,-0.42,1.41,35,3,-14,0.86,3,39.674412,-77.417526,12.66,1097.4
2531963,1.70215E+12,0,0,,-0.21,-0.38,0.74,35,3,-6,0.43,3,39.674412,-77.417526,12.92,1097.4
2532083,1.70215E+12,0,0,,-0.16,-0.47,0.56,42,0,-4,0.49,3,39.674412,-77.417534,12.84,1097.5
2532123,1.70215E+12,0,0,,-0.27,-0.42,0.49,39,-5,7,0.5,3,39.674412,-77.417534,12.66,1097.5
2532163,1.70215E+12,0,0,,-0.6,-0.68,0.38,44,-18,-1,0.9,3,39.674412,-77.417534,12.88,1097.5
2532203,1.70215E+12,0,0,,-0.25,-0.7,1.1,49,-12,-29,0.74,3,39.674416,-77.417534,13.19,1097.5
2532243,1.70215E+12,0,0,,0.15,-1.35,0.88,63,-7,-38,1.36,3,39.674416,-77.417542,13.67,1097.5
2532283,1.70215E+12,0,0,,0.01,-0.98,0.4,72,-13,4,0.98,3,39.674416,-77.417542,13.69,1097.5
2532323,1.70215E+12,0,0,,0.59,-0.46,1.05,77,-13,-2,0.75,3,39.674416,-77.417549,13.48,1097.6
2532363,1.70215E+12,0,0,,0.57,-0.91,0.66,83,-7,-26,1.07,3,39.674419,-77.417549,13.54,1097.6
2532403,1.70215E+12,0,0,,0.33,-0.95,0.49,93,-10,-17,1.01,3,39.674419,-77.417549,13.34,1097.6
2532443,1.70215E+12,0,0,,0.38,-0.69,0.65,98,-9,-4,0.79,3,39.674419,-77.417557,13.67,1097.7
2532483,1.70215E+12,0,0,,0.22,-0.44,0.7,100,-6,9,0.49,3,39.674423,-77.417557,13.41,1097.7
2532523,1.70215E+12,0,0,,-0.06,-0.13,0.61,92,-10,-10,0.14,3,39.674423,-77.417564,12.87,1097.7
2532563,1.70215E+12,0,0,,0.07,-0.54,0.85,86,-15,-11,0.55,3,39.674427,-77.417564,13,1097.7
2532603,1.70215E+12,0,0,,0.37,-0.88,1.06,87,-13,-2,0.95,3,39.674427,-77.417564,13.07,1097.6
2532643,1.70215E+12,0,0,,0.2,-0.64,1,91,-9,-2,0.67,3,39.674427,-77.417572,13.14,1097.6
2532803,1.70215E+12,0,0,,0.2,-1.14,0.9,97,-16,-2,1.16,3,39.674435,-77.417572,11.99,1097.6
2532843,1.70215E+12,0,0,,0.36,-0.7,0.8,100,-13,1,0.79,3,39.674435,-77.417572,11.9,1097.5
2532883,1.70215E+12,0,0,,0.22,-0.48,0.7,100,-4,-20,0.53,3,39.674438,-77.417572,12.58,1097.6
2532923,1.70215E+12,0,0,,0.6,-0.76,0.69,98,-8,-14,0.97,3,39.674438,-77.417572,12.2,1097.5
2532963,1.70215E+12,0,0,,0.34,-1,0.71,100,3,-20,1.05,3,39.674442,-77.417572,12.33,1097.5
2533003,1.70215E+12,0,0,,0.21,-0.52,0.31,95,-9,-5,0.56,3,39.674442,-77.417572,12.51,1097.4
2533043,1.70215E+12,0,0,12.75,0.13,0.08,0.56,84,-6,-5,0.16,3,39.674446,-77.417572,12.18,1097.3
2533083,1.70215E+12,0,0,,0.37,-0.71,0.95,74,-19,-13,0.8,3,39.67445,-77.41758,12.13,1097.2
2533123,1.70215E+12,0,0,,0.37,-0.57,0.95,69,-24,-25,0.68,3,39.67445,-77.41758,12.23,1097.1
2533163,1.70215E+12,0,0,,0.19,-1,1.23,71,-27,-28,1.02,3,39.67445,-77.41758,12.81,1097
2533203,1.70215E+12,0,0,,0.42,-1.43,1.22,81,-26,-28,1.49,3,39.674454,-77.41758,13.04,1096.9
2533243,1.70215E+12,0,0,,0.26,-1.14,1.37,89,-9,-14,1.17,3,39.674454,-77.41758,12.54,1096.9
2533283,1.70215E+12,0,0,,0.31,-0.57,0.88,99,5,-11,0.65,3,39.674458,-77.41758,12.35,1096.8
2533403,1.70215E+12,0,0,,0.24,-0.11,0.66,89,2,-9,0.26,3,39.674465,-77.417572,11.23,1096.6
2533443,1.70215E+12,0,0,,-0.28,-0.63,1.03,69,-12,-20,0.68,3,39.674465,-77.417572,10.83,1096.4
2533483,1.70215E+12,0,0,,-0.48,-0.73,0.97,57,-17,-3,0.88,3,39.674469,-77.417572,10.52,1096.2
2533523,1.70215E+12,0,0,,-0.01,-0.68,1.28,54,-17,3,0.68,3,39.674469,-77.417572,10.87,1096.2
2533563,1.70215E+12,0,0,,0.08,-0.8,1.07,54,-6,9,0.81,3,39.674469,-77.417572,11.65,1096.1
2533603,1.70215E+12,0,0,,0.45,-0.72,1.12,57,7,13,0.85,3,39.674469,-77.417572,10.97,1096
2533643,1.70215E+12,0,0,,0.25,-0.47,0.82,57,11,4,0.54,3,39.674469,-77.417572,10.31,1096
2533683,1.70215E+12,0,0,,-0.09,-0.02,0.71,49,2,2,0.09,3,39.674473,-77.417572,9.82,1095.9
2533723,1.70215E+12,0,0,,-0.75,0.09,0.41,36,-3,-6,0.75,3,39.674473,-77.417572,9.89,1095.8
2533763,1.70215E+12,0,0,,-0.01,-0.03,0.53,22,-16,-4,0.03,3,39.674473,-77.417572,10.77,1095.8
2533803,1.70215E+12,0,0,,-0.03,-0.42,0.54,13,-26,-2,0.42,3,39.674477,-77.417564,11.07,1095.8
2533843,1.70215E+12,0,0,,0.41,-0.59,0.73,12,-27,11,0.72,3,39.674477,-77.417564,11.4,1095.7
2533883,1.70215E+12,0,0,,0.63,-0.85,0.87,16,-26,30,1.06,3,39.674477,-77.417564,12.11,1095.7
2534043,1.70215E+12,5,0,12.91,-0.17,-1.06,0.81,57,1,6,1.07,3,39.67448,-77.417549,11.51,1095.5
2534083,1.70215E+12,5,0,,0.18,-0.33,0.98,62,8,3,0.37,3,39.674484,-77.417549,11.1,1095.5
2534123,1.70215E+12,5,0,,0.33,-0.32,0.85,59,11,-5,0.46,3,39.674484,-77.417549,10.88,1095.5
2534163,1.70215E+12,0,0,,0.51,-0.17,1.23,57,13,-12,0.54,3,39.674484,-77.417542,10.86,1095.4
2534203,1.70215E+12,0,0,,0.05,-0.51,0.83,52,2,-8,0.52,3,39.674484,-77.417542,10.78,1095.4
2534243,1.70215E+12,0,0,,-0.64,-0.32,0.73,44,-9,6,0.71,3,39.674484,-77.417542,11.44,1095.3
2534283,1.70215E+12,0,0,,-0.47,0.24,1.12,37,-4,19,0.53,2,39.674488,-77.417534,11.28,1095.2
2534323,1.70215E+12,5,0,,0.24,-0.21,0.95,32,-3,6,0.32,2,39.674488,-77.417534,11.56,1095.2
2534363,1.70215E+12,5,0,,0.15,-0.38,1,30,0,-1,0.41,2,39.674488,-77.417534,11.73,1095.1
2534403,1.70215E+12,5,0,,-0.51,-0.06,0.3,27,-2,-3,0.52,2,39.674488,-77.417534,11.99,1095.1
2534443,1.70215E+12,5,0,,-0.53,-0.37,0.34,25,-8,-13,0.64,2,39.674488,-77.417534,12.03,1095.1
2534483,1.70215E+12,0,0,,0.13,-0.62,0.83,32,-22,-9,0.63,2,39.674488,-77.417526,12.14,1095
2534523,1.70215E+12,0,0,,0.57,-1.11,1.09,43,-16,-6,1.25,2,39.674488,-77.417526,12.69,1095
2534563,1.70215E+12,0,0,,0.75,-1.2,1.09,63,-13,10,1.42,2,39.674488,-77.417526,13.13,1094.9
2534723,1.70215E+12,0,0,,-0.11,-0.5,0.33,86,-9,-19,0.51,2,39.674488,-77.417511,12.47,1094.8
2534763,1.70215E+12,0,0,,0.38,-0.16,0.92,81,-7,-18,0.41,2,39.674488,-77.417503,12.81,1094.8
2534803,1.70215E+12,0,0,,0.12,-0.81,1.11,76,-18,-16,0.82,2,39.674488,-77.417503,12.4,1094.7
2534843,1.70215E+12,0,0,,0.23,-0.93,1.02,71,-21,-16,0.96,2,39.674488,-77.417503,12.48,1094.6
2534883,1.70215E+12,0,0,,0.44,-0.92,1.21,70,-20,-3,1.02,2,39.674484,-77.417496,12.63,1094.5
2534923,1.70215E+12,0,0,,0.51,-0.84,1.04,73,-9,14,0.98,2,39.674484,-77.417496,12.63,1094.5
2534963,1.70215E+12,0,0,,0.57,-0.69,1.02,74,-1,14,0.89,2,39.674484,-77.417496,12.45,1094.5
2535003,1.70215E+12,0,0,,0.47,-0.27,0.72,78,6,20,0.54,2,39.674484,-77.417496,11.65,1094.5
2535043,1.70215E+12,0,0,12.75,0.07,-0.08,0.6,67,5,5,0.1,2,39.674484,-77.417496,10.9,1094.4
2535083,1.70215E+12,0,0,,0.34,-0.36,0.58,54,-3,-17,0.49,2,39.67448,-77.417488,10.81,1094.4
2535123,1.70215E+12,0,0,,-0.39,-0.85,0.39,40,-23,-10,0.93,2,39.67448,-77.417488,11.31,1094.4
2535163,1.70215E+12,0,0,,-0.09,-0.88,0.97,34,-24,0,0.89,2,39.67448,-77.417488,10.69,1094.3
2535203,1.70215E+12,0,0,,-0.32,-0.77,1.33,33,-18,3,0.83,2,39.67448,-77.417488,11.22,1094.3
2535323,1.70215E+12,5,0,,0.48,-0.55,0.97,62,9,-1,0.73,2,39.674477,-77.41748,9.74,1094.3
2535363,1.70215E+12,0,0,,-0.2,-0.36,0.66,57,12,-8,0.41,2,39.674473,-77.41748,9.86,1094.3
2535403,1.70215E+12,0,0,,-0.46,-0.5,0.5,50,-1,-14,0.68,2,39.674473,-77.417473,9.77,1094.2
2535443,1.70215E+12,0,0,,-0.62,-0.67,0.8,48,-6,-21,0.91,2,39.674469,-77.417473,10.34,1094.2
2535483,1.70215E+12,5,0,,-0.45,-0.74,0.52,52,-14,-6,0.86,2,39.674469,-77.417473,10.39,1094.2
2535523,1.70215E+12,5,0,,0.11,-0.6,0.73,60,-15,-7,0.61,2,39.674469,-77.417473,10.4,1094.2
2535563,1.70215E+12,5,0,,0.44,-0.93,0.98,68,-9,0,1.03,2,39.674469,-77.417465,10.94,1094.2
2535603,1.70215E+12,0,0,,0.9,-0.96,1.41,80,-13,15,1.31,2,39.674469,-77.417465,10.91,1094.1
2535643,1.70215E+12,0,0,,0.56,-0.79,1.21,83,0,4,0.97,2,39.674465,-77.417465,10.96,1094.1
2535683,1.70215E+12,0,0,,-0.17,-0.29,1.12,79,-3,-18,0.34,2,39.674465,-77.417465,10.61,1094
2535723,1.70215E+12,0,0,,-0.31,-0.38,0.55,70,0,-16,0.49,2,39.674461,-77.417465,10.44,1093.9
2535763,1.70215E+12,0,0,,-0.12,-0.36,0.74,69,-4,-3,0.38,2,39.674461,-77.417465,10.35,1093.9
2535803,1.70215E+12,5,0,,-0.23,-0.45,0.7,62,-10,-8,0.5,2,39.674458,-77.417465,10.16,1093.8
2535843,1.70215E+12,5,0,,-0.37,-0.53,0.72,53,-17,-17,0.65,2,39.674458,-77.417458,10.66,1093.8
2535883,1.70215E+12,5,0,,-0.29,-0.8,0.89,48,-18,-17,0.85,2,39.674454,-77.417458,10.81,1093.8
2536043,1.70215E+12,0,0,12.94,0.17,-0.64,0.54,54,10,17,0.66,2,39.67445,-77.417458,10.88,1093.7
2536083,1.70215E+12,0,0,,0.02,-0.01,0.75,48,2,4,0.03,2,39.67445,-77.417458,10.24,1093.7
2536123,1.70215E+12,5,0,,0.34,0.01,0.9,37,-3,0,0.34,2,39.674446,-77.417458,10.06,1093.7
2536163,1.70215E+12,5,0,,0.2,-0.2,0.83,26,-9,-10,0.28,2,39.674446,-77.417458,10.12,1093.7
2536203,1.70215E+12,0,0,,0.34,-0.86,1.19,24,-21,-18,0.92,2,39.674442,-77.417458,11.21,1093.6
2536243,1.70215E+12,0,0,,-0.06,-1.75,1.3,41,-11,-11,1.75,2,39.674442,-77.417458,11.75,1093.6
2536283,1.70215E+12,0,0,,0.22,-1.63,1.31,59,-8,-5,1.64,2,39.674438,-77.417458,11.7,1093.6
2536323,1.70215E+12,5,0,,-0.04,-1.27,1.15,79,8,5,1.27,2,39.674435,-77.417458,11.28,1093.6
2536363,1.70215E+12,5,0,,0.36,-1.14,0.85,89,8,15,1.2,2,39.674435,-77.417458,10.03,1093.6
2536403,1.70215E+12,5,0,,-0.18,-0.19,0.21,91,11,5,0.26,2,39.674431,-77.417458,10.18,1093.6
2536443,1.70215E+12,5,0,,-0.45,-0.3,0.46,86,5,-18,0.54,2,39.674431,-77.417465,9.59,1093.7
2536483,1.70215E+12,5,0,,-0.19,-0.24,0.57,73,-2,-42,0.31,2,39.674431,-77.417465,9.74,1093.7
2536523,1.70215E+12,5,0,,-0.01,-0.38,0.42,59,-10,-28,0.38,2,39.674431,-77.417465,9.97,1093.8
2536563,1.70215E+12,0,0,,0.02,-0.94,0.68,51,-20,-4,0.94,2,39.674431,-77.417465,10.95,1093.7
2536603,1.70215E+12,0,0,,-0.13,-0.95,0.92,54,-11,11,0.96,2,39.674427,-77.417465,11.06,1093.7
2536643,1.70215E+12,0,0,,0.27,-1.14,1.3,55,-8,-3,1.17,2,39.674427,-77.417465,11.47,1093.8
2536683,1.70215E+12,5,0,,0.53,-0.83,1.22,64,-1,-11,0.99,2,39.674423,-77.417465,11.55,1093.8
2536723,1.70215E+12,5,0,,0.48,-0.72,0.89,65,1,-12,0.87,2,39.674423,-77.417473,10.77,1093.8
2536763,1.70215E+12,5,0,,-0.19,-0.65,0.72,63,1,-9,0.67,2,39.674419,-77.417473,10.38,1093.8
2536803,1.70215E+12,5,0,,-0.88,-0.37,0.42,62,4,-5,0.96,2,39.674419,-77.417473,9.98,1093.8
2536843,1.70215E+12,5,0,,-0.6,-0.47,0.57,58,-3,-1,0.76,2,39.674419,-77.417473,10.45,1093.8
2536883,1.70215E+12,0,0,,-0.3,0.06,0.62,48,-16,2,0.3,2,39.674416,-77.41748,10.09,1093.8
2536923,1.70215E+12,0,0,,-0.01,-0.57,0.79,41,-25,9,0.57,2,39.674416,-77.41748,10.63,1093.8
2536963,1.70215E+12,5,0,,0.08,-0.32,1.1,34,-26,3,0.33,2,39.674412,-77.41748,10.95,1093.8
2537003,1.70215E+12,5,0,,0.07,-0.41,1.21,32,-18,-7,0.41,2,39.674412,-77.41748,11.44,1093.8
2537043,1.70215E+12,5,0,12.95,0.05,-0.7,1.23,37,-12,-4,0.7,2,39.674412,-77.417488,11.26,1093.9
2537083,1.70215E+12,0,0,,0.14,-0.91,1.02,43,-6,0,0.92,2,39.674412,-77.417488,11.25,1093.9
2537123,1.70215E+12,0,0,,0.37,-0.6,1.16,44,7,-1,0.7,2,39.674412,-77.417488,11.11,1093.9
2537163,1.70215E+12,0,0,,0.1,-0.29,1.15,43,1,-5,0.31,2,39.674412,-77.417496,10.27,1093.9
2537203,1.70215E+12,0,0,,-0.28,-0.15,0.75,38,3,-11,0.32,2,39.674412,-77.417496,10.3,1093.9
2537243,1.70215E+12,0,0,,0.13,-0.59,0.85,35,7,-1,0.6,2,39.674408,-77.417496,10.29,1093.9
2537283,1.70215E+12,0,0,,-0.19,-0.68,0.56,36,1,14,0.71,2,39.674408,-77.417496,10.16,1093.9
2537323,1.70215E+12,0,0,,-0.22,-0.45,0.74,38,1,12,0.5,2,39.674408,-77.417496,10.46,1093.9
2537363,1.70215E+12,0,0,,-0.17,-0.34,0.48,36,11,9,0.38,2,39.674408,-77.417496,10.54,1094
2537403,1.70215E+12,0,0,,-0.19,-0.51,0.83,37,10,8,0.54,2,39.674408,-77.417496,10.52,1094
2537443,1.70215E+12,0,0,,0.18,-0.65,0.82,34,5,-4,0.67,2,39.674408,-77.417503,10.61,1094
2537483,1.70215E+12,0,0,,0.09,-0.28,1.05,35,-2,-17,0.29,2,39.674404,-77.417503,10.54,1094
2537523,1.70215E+12,0,0,,-0.33,-0.4,0.96,35,-9,-9,0.52,2,39.674404,-77.417511,10.44,1094
2537563,1.70215E+12,0,0,,0.19,-0.77,1.26,46,-1,-8,0.79,2,39.674404,-77.417511,11.04,1094
2537603,1.70215E+12,0,0,,0.07,-0.54,0.86,55,-2,2,0.54,2,39.674404,-77.417511,10.43,1094
2537643,1.70215E+12,0,0,,-0.13,-0.08,0.52,50,-4,13,0.15,2,39.674404,-77.417519,10.49,1094.1
2537683,1.70215E+12,0,0,,-0.22,-0.09,0.32,43,-10,10,0.23,2,39.674404,-77.417519,10.41,1094.1
2537723,1.70215E+12,0,0,,0.25,-0.62,0.86,54,-8,-3,0.67,2,39.674404,-77.417519,10.87,1094.2
2537763,1.70215E+12,0,0,,0.3,-0.75,0.7,57,10,-6,0.81,2,39.674404,-77.417526,11.06,1094.2
